text,style,theme
"Он сидел в спальне на втором этаже, смотрел в зеркало  и  рисовал  свои
худые, с резко проступавшими скулами щеки,  плоский  широкий  лоб,  сильно
отодвинутые к затылку уши, спадающие к  надбровью  завитки  черных  волос,
широко расставленные янтарного цвета глаза с тяжелыми веками.
   ""Как скверно  у  меня  построена  голова,  -  сосредоточенно  размышлял
тринадцатилетний мальчик. - Все не по правилам. Линия лба выступает вперед
гораздо дальше рта  и  подбородка.  Видно,  кто-то  забыл  воспользоваться
отвесом"".
   Он слегка подвинулся к краю кровати и, стараясь  не  разбудить  четырех
братьев, спавших тут же,  за  его  спиною,  навострил  уши:  с  Виа  делль
Ангуиллара вот-вот должен был свистнуть ему  приятель  Граначчи.  Быстрыми
взмахами карандаша он принялся исправлять свой портрет  -  увеличил  овалы
глаз, придал округлую симметричность лбу, чуть раздвинул щеки, губы сделал
полнее, а подбородок  крупней  и  шире.  ""Вот  теперь  я  выгляжу  гораздо
красивей, - решил мальчик. - Очень плохо, что  лицо,  если  оно  тебе  уже
дано, нельзя перерисовать, как перерисовывают планы фасада нашего собора -
Дуомо"".
   Из высокого, в четыре аршина,  окна,  которое  мальчик  отворил,  чтобы
впустить свежий утренний воздух, послышались  звуки  птичьей  песенки.  Он
спрятал рисунок под валиком кровати в изголовье и, бесшумно спустившись по
каменной винтовой лестнице, вышел на мостовую.
   Франческо  Граначчи  исполнилось  уже   девятнадцать   лет;   это   был
русоволосый юноша с бойкими голубыми глазами, ростом выше своего  младшего
друга на целую голову. Граначчи уже с год как снабжал мальчика карандашами
и бумагой, не раз давал ему приют у себя дома,  на  Виа  деи  Бентаккорди,
дарил ему гравюры, стянув их  потихоньку  в  мастерской  Гирландайо.  Хотя
Граначчи был из богатой семьи,  его  с  девяти  лет  отдали  в  ученики  к
Филиппино Липпи, в тринадцать лет  он  позировал  для  центральной  фигуры
воскрешаемого юноши в фреске о ""Чуде святого Петра"" в церкви дель Кармине,
- эту фреску Мазаччо оставил незаконченной, - теперь же Граначчи  пребывал
учеником у Гирландайо. К своим замятиям живописью  Граначчи  относился  не
слишком серьезно, но у него был острый глаз на чужие таланты.
   - Ты в самом деле не струсишь, пойдешь со мной? -  нетерпеливо  спросил
Граначчи у вышедшего к нему приятеля.
   - Да, это будет подарок, который я сделаю себе к дню рождения.
   - Чудесно!
   Граначчи взял мальчика под руку и повел его  по  Виа  деи  Бентаккорди,
огибающей огромный выступ древнего Колизея; позади высились  стены  тюрьмы
Стинке.",художественный,Культура
"«Воллар был массивный темноволосый человек и он слегка шепелявил (…) Место было невероятное, совсем не похожее на картинную галерею. Внутри, лицом к стене, пара холстов, в углу небольшая стопка больших и маленьких холстов, кое-как наваленных друг на дружку (thrown pell mell on top of one another), в середине комнаты стоял плотный и мрачный темноволосый человек. Это был Воллар в хорошем настроении (cheerful). Когда же он бывал в совсем дурном настроении (cheerless), он перетаскивал свое плотное тело к стеклянной двери, выходившей на улицу, подымал над головой руки, упирался ими в верхние углы дверного проема и мрачно и угрюмо смотрел на улицу. Никто тогда и подумать не мог, чтобы зайти к нему.

Они (Стайны. – М. Г.) попросили показать им Сезаннов. Он стал менее мрачным и сделался чрезвычайно вежливым. Позже мы узнали, что Сезанн был великой любовью всей его жизни (the great romance of Vollar’s life)»[14 - Stein G. The Autobiography of Alice B. Toklas. London, 2001. P. 34–35.].

Его упрекали в отсутствии вкуса, в неумении видеть и понимать живопись, а между тем реальная его деятельность, написанные им книги (он оставил превосходные очерки о Сезанне и Ренуаре, записал свои разговоры с этими мастерами и Эдгаром Дега), а главное, те художники, известности которых он поспешествовал, свидетельствуют решительно о другом…

Именно он летом 1901-го устроил первую персональную выставку Пикассо в Париже. Вероятно, Воллар раньше угадал значимость и перспективы Пикассо, чем почувствовал и полюбил его искусство. Тогда осторожный маршан предпочел выставить работы Пикассо вместе с произведениями его «почти соотечественника», баскского художника, в ту пору более зрелого и известного, – Франсиско Итуррино. Маршан был тонким игроком: Итуррино давал некоторые гарантии в смысле репутации и поддерживал «испанскую тенденцию» галереи, где совсем недавно прошла и выставка Исидре Нонеля, уже известного соотечественника Пикассо, прозванного «революционером для традиционалистов».",художественный,Культура
"Предложен метод расчета характеристик фонового излучения при решении задач лазерной локации в инфракрасном диапазоне спектра. Описан процесс лазерной локации в инфракрасном диапазоне для случая протяженного однородного фона, который характеризуется излучательной способностью и абсолютной температурой. Выведены выражения для диффузно-отраженного лазерного и собственного теплового редуцированных потоков фонового излучения. Расчет редуцированного потока диффузно-отраженного лазерного излучения проведен с учетом особенностей основных схем построения лазерных локационных систем. Получено выражение для суммарного фонового потока излучения, в котором учтено влияние диффузно-отраженного зондирующего лазерного излучения и собственного теплового излучения подстилающей поверхности. Приведены графики зависимостей фоновых потоков излучения для нескольких типовых значений внутренних характеристик лазерной локационной системы (мощности источника лазерного излучения, конструктивных параметров приемной оптической системы) и внешних условий (абсолютной температуры и излучательной способности подстилающей фоновой поверхности). С учетом графиков зависимостей фоновых потоков определены предельные значения конструктивных параметров лазерных локационных систем и внешних условий, при которых значение собственного теплового редуцированного потока излучения значительно преобладает над значением диффузно-отраженного лазерного редуцированного потока излучения
Введение. В настоящее время в области оптико-электронного приборостроения отмечается повышенный интерес к созданию лазерных локационных систем (ЛЛС), работающих в инфракрасном (ИК) диапазоне спектра, принцип действия которых основан на использовании эффекта световозвращения [1–6]. Системы такого типа предназначены для регистрации
точечного ретроотраженного блика от лоцируемого оптико-электронного
прибора (ОЭП) на фоне подстилающей поверхности (рис. 1). ",научный,Наука
"Предложены методические и технические решения, направленные на повышение точности сброса
грузов с летательных аппаратов за счет учета скорости ветра. Рассмотрены характеристики лидаров
разных типов, которые могут обеспечить измерения
скорости ветра как вблизи летательного аппарата,
так и земной поверхности. Представлены результаты экспериментов по измерению профиля скорости
ветра на малых высотах в районе аэродрома. Приведены результаты моделирования траектории неуправляемого груза, падающего в условиях ветра.
Полученные результаты показывают, что учет скорости ветра значительно повышает точность сброса.
Груз моделируется в виде сферы заданной массы
с заданными аэродинамическими коэффициентами.
Показано влияние на точность сброса полноты информации о распределении скорости ветра по высоте. В частности, выполнено сравнение вариантов,
когда скорость ветра измеряется около летательного
аппарата и вблизи земной поверхности. Приведены
показатели точности сброса, полученные при моделировании Введение. Одной из задач, решаемых современными авиационными комплексами, является сброс неуправляемых грузов. Эта задача актуальна при
поисково-спасательных и военных операциях [1, 2]. Следует отметить,
что задача сброса неуправляемых грузов с самолетов и вертолетов различных поколений не теряет актуальности, несмотря на интенсивное развитие
разнообразных управляемых и самоуправляемых средств. Решающую роль
играют экономические соображения [3].
Важнейший фактор, вызывающий отклонение координат точки падения неуправляемого груза от заданных, — ветер, создающий так называемый ветровой снос [4]. Отсутствие информации о фактическом распределении скорости ветра на высотах от земной поверхности до высоты
носителя не позволяет в полной мере устранить эту составляющую погрешности. Практически все бортовые алгоритмы и вычислители не используют информацию о вертикальном профиле скорости и направлении
ветра ввиду отсутствия возможности получения таковой [5, 6].
Оценивание скорости ветра в полете по данным внешнетраекторных
измерений традиционно применяют при летных испытаниях самолетов [7].
Имеются зарубежные работы по учету ветра на высоте, например [8]
или [9, 10], в которых оценка скорости ветра выполнена методами идентификации систем [11]. В рамках этого в [12, 13] предложены алгоритмы оценивания ветра по измерениям углов атаки, скольжения, воздушной скорости и данным спутниковых навигационных систем. В связи с этим измерение высотного профиля ветра непосредственно перед сбросом груза и учет
профиля ветра в вычислениях траектории является актуальной задачей.
Скорость ветра успешно измеряют лидарами различных типов, что требует
установки дополнительного оборудования на борт самолета.
В настоящей работе приведены результаты анализа погрешностей координат точки сброса, обусловленных ветровым сносом. В качестве источника
детальной информации о высотном профиле вектора скорости ветра рассмотрены доплеровские лидары [14, 15]. Показано, что учет аэродинамического сноса под влиянием неоднородного ветра позволяет существенно
уменьшить погрешность координат точки попадания относительно расчетной. ",научный,Наука
"Обоснована актуальность необходимости достоверной оценки термоупругих деформаций осей чувствительных элементов и их последующей алгоритмической компенсации для повышения точности
бесплатформенной инерциальной навигационной
системы. Для этого разработана методика компьютерного моделирования температурных полей бесплатформенной инерциальной навигационной
системы средствами программного обеспечения
ANSYS. Методика комбинирует несколько методических подходов к подготовке расчетных моделей,
используемых для моделирования теплового и деформированного состояния деталей прибора, расчета свободно-конвективной циркуляции воздуха
во внутрикорпусном пространстве, а также методический подход к решению задачи газодинамики
и теплообмена. Для валидации разработанной методики в лабораторных условиях проведено экспериментальное измерение температуры прибора при
самопрогреве в его характерных точках. Установлено удовлетворительное соответствие расчетных
и экспериментальных данных, что свидетельствует
об адекватности выбранной математической модели
и разработанной расчетной схемы для бесплатформенной инерциальной навигационной системы.
На основании результатов валидации рекомендовано использовать предлагаемую методику для прогнозирования теплового и напряженно-деформированного состояния деталей бесплатформенной
инерциальной навигационной системы и для определения углов отклонения осей чувствительных
элементов в различных, в том числе нестационарных, эксплуатационных режимах. Для вычисления
углов чувствительных элементов предложен методический подход на основе применения специальных двухузловых конечных элементов и соотношений для углов Брайанта, описывающих взаимное
положение в пространстве двух систем координат 
Введение. Бесплатформенные инерциальные навигационные системы
(БИНС) используют для автономного и надежного решения задачи навигации различных подвижных объектов при сохранении допустимого
уровня погрешностей счисления углов, скоростей и координат [1–4]. С одной стороны, отсутствие платформы позволяет сделать прибор компактнее, технологичнее и снизить стоимость, с другой, предъявляет более высокие требования к чувствительным элементам (ЧЭ) (гироскопам и акселерометрам) БИНС и стабильности их измерительных осей в условиях
медленно меняющихся (старение материалов несущих деталей) и быстро
протекающих (нагрев и механические деформации) процессов в конструкции [5].
Принципиальная особенность систем инерциальной навигации — навигационные погрешности, накапливаемые вследствие наличия различного
рода остаточных погрешностей после этапов лабораторно-стендовой и полевой калибровок. Поэтому множество работ посвящено вопросам минимизации различных инструментальных погрешностей ЧЭ и методических
погрешностей БИНС. Методические погрешности БИНС связаны
с необходимостью упрощения математического описания физических процессов на этапе реализации вычислительных процедур с учетом ограничений вычислительной подсистемы БИНС и не являются целью рассмотрения настоящей работы.
К основным инструментальным погрешностям обычно относят смещение нулевого сигнала, погрешность масштабного коэффициента, нестабильность входной (измерительной) оси [6].
Следует отметить, что для высокодинамичных подвижных объектов
с малым временем полета больший эффект на навигационную погрешность оказывают, как правило, погрешности акселерометров, а не гироскопов. Кроме того, нестабильность входной оси, в отличие от смещения
нулевого сигнала и погрешности масштабного коэффициента, имеет распределенный характер, т. е. одновременно относится как к ЧЭ, так и к несущей системе (НС) БИНС [7]. ",научный,Наука
"Цели работы: развитие общего подхода к разнообразным вопросам, находящимся на
стыке теории поля, квантовых интегрируемых систем с алгебраической геометрией, теорией представлений квантовых групп и бесконечномерных алгебр Ли и комбинаторикой.
Задачи: развитие новых направлений математики с опорой на идеи, возникающие в
современной фундаментальной физике; вовлечение сотрудников и студентов НИУ ВШЭ в
научную деятельность лаборатории, содействие их контактам с зарубежными исследователями.
Объекты научного исследования: интегрируемые модели квантовой механики и теории стохастических процессов; геометрическая теория представлений, вертексные алгебры,
W-алгебры, конформные блоки, обобщенные янгианы, квантовые группы и тороидальные
алгебры; кристаллы Кашивары и другие комбинаторные объекты.
Методы исследований: алгебраический и теоретико-представленческий анализ классических и квантовых теорий поля, статистической физики и случайных процессов, развитие методов теории представлений и вертексных алгебр в геометрии и топологии пространств модулей с приложениями к комбинаторике и математической физике.
Полученные результаты:
1) Конформная теория поля: Прямым вычислением проверена правильность нормировок в соотношениях раздутия между Уиттекеровскими конформыми блоками для аффинной алгебры и для алгебры Вирасоро. Определена изомонодромная тау-функция для
двухчастичной неавтономной системы Калоджеро-Мозера как определитель Фредгольма
некоторых операторов Племеля. Изучены интегрируемые структуры конформных теорий
типа B, C, D и установлена их связь с граничным Бете анзацем аффинного Янгиана.
2) Квантовые интегрируемые системы: Получена классификация преобразований
фолдинга между решениями q-разностных уравнений Пенлеве. Развит новый подход к
соответствию между стабильным и стандартным бизисами в твистованных фоковских
представлениях квантовой тороидальной алгебры. Показано, что гамильтонианы и пер4
вые и вторые скобки Пуассона DR- и DZ-иерархий связаны преобразованием Миуры (в
приближении до рода 1). Найдены достаточные условия, при которых подалгебры Бете
имеют простой спектр в ручных представлениях янгиана. Показано, что гамильтонианы,
которые управляют динамикой полюсов по m-м иерархическим временам tm и t¯m иерархии двумеризованной решетки Тоды получаются из разложения спектральной кривой для
матрицы Лакса модели Руйсенарса-Шнайдера в отмеченных точках. Получено теоретикопредставленческое доказательство гипергеометрической формулы для собственных функций гамильтониана Сазерленда. Развита теория полной положительности электрических
групп Ли G(a)
3) Геометрическая теория представлений: Построена эквивалентность Сатаке для
некоторых супергрупп Ли. Получены рекуррентные соотношения на несимметричные полиномы Макдональда.
4) Гомологическая алгебра: Получен ряд результатов о структуре инвариантов
Дональдсона-Томаса при помощи техники базисов Гребнера для операд.
Организационные результаты: подготовка к публикации статей, содержащих результаты научной деятельности лаборатории; организация и проведение международных конференций, школ и научных семинаров, в том числе в дистанционном режиме",официально-деловой,Наука
"Цели работы: развитие общего подхода к разнообразным вопросам, находящимся на
стыке теории поля, квантовых интегрируемых систем с алгебраической геометрией, теорией представлений квантовых групп и бесконечномерных алгебр Ли и комбинаторикой. Задачи: развитие новых направлений математики с опорой на идеи, возникающие в
современной фундаментальной физике; вовлечение сотрудников и студентов НИУ ВШЭ в научную деятельность лаборатории, содействие их контактам с зарубежными исследова-
телями.
Объекты научного исследования: интегрируемые модели квантовой механики и теории стохастических процессов; геометрическая теория представлений, вертексные алгебры, W-алгебры, конформные блоки, обобщенные янгианы, квантовые группы и тороидальные алгебры; кристаллы Кашивары и другие комбинаторные объекты.
Методы исследований: алгебраический и теоретико-представленческий анализ классических и квантовых теорий поля, статистической физики и случайных процессов, развитие методов теории представлений и вертексных алгебр в геометрии и топологии пространств модулей с приложениями к комбинаторике и математической физике.
Полученные результаты: Представления W-алгебр: продолжено построение теории представлений q-W-алгебр и их обобщений с приложениями к геометрии пространств мо-
дулей пучков на алгебраических поверхностях. Построено и исследовано функториальное сопоставление вертексных алгебр 4-мерным многообразиям. Анзац Бете и комбинаторика:
Доказана гипотеза Этингофа, описывающая монодромии решений анзаца Бете в магнитных цепочках. Получены комбинаторные приложения этих результатов. Основные результаты получены в результате оригинальных исследований сотрудников лаборатории, в том числе совместных с зарубежными учеными. Отдельные результаты получены привлеченными внешними специалистами.
Организационные результаты: подготовка к публикации статей, содержащих резуль-
таты научной деятельности лаборатории; организация и проведение международных конференций, школ и научных семинаров, в том числе в дистанционном режиме.",официально-деловой,Наука
"МОДЕЛЬ РУЙСЕНААРСА-ШНАЙДЕРА, СИТЕМЫ
КАЛОДЖНРО-САЗЕРЛЕНДА, ЦЕПОЧКИ ТОДЫ, ФУНКЦИЯ НЕКРАСОВА, УРАВНЕНИЯ ПЕНЛЕВЕ, 𝜏 -ФУНКЦИЯ, КОНФОРМНЫЙ БЛОК, АЛГЕБРА ВИРАСОРО, ПРЕПОТЕНЦИАЛЫ, ИНСТАНТОННЫЕ РАЗЛОЖЕНИЯ, ВЕРТЕКСНЫЕ АЛГЕБРЫ, АФФИННЫЕ АЛГЕБРЫ ЛИ, РЕДУКЦИОННЫЕ АЛГЕБРЫ, УРАВНЕНИЕ КНИЖНИКА-ЗАМОЛОДЧИКОВА, РЕДУКЦИЯ ДРИНФЕЛЬДА-СОКОЛОВА, ТОЖДЕСТВА ГАМИЛЬТОНАКЭЛИ, МЕТОД ОБРАТНОЙ ЗАДАЧИ РАССЕЯНИЯ, АНЗАЦ БЕТЕ, ВЕРОЯТНОСТНЫЕ
𝑍-МЕРЫ, СТОХАСТИЧЕСКИЕ ПРОЦЕССЫ, ФУНКЦИЯ БОЛЬШИХ УКЛОНЕНИЙ, ПРОЦЕСС С ПРОСТЫМИ ЗАПРЕТАМИ, МНОГООБРАЗИЯ ФЛАГОВ, ОПЕРАДЫ, ЧИСЛА
ГУРВИЦА, ПСЕВДОРАЗНОСТНЫЕ ОПЕРАТОРЫ, АЛГЕБРЫ ЧЕРЕДНИКА, ИНВАРИАНТЫ УЗЛОВ, ГОМОЛОГИИ ХОВАНОВА-РОЗАНСКОГО, ГОМОЛОГИИ КОШУЛЯ, ЯНГИАНЫ, ПОДАЛГЕБРЫ БЕТЕ, R-МАТРИЦЫ, КВАНТОВЫЕ ГРУППЫ
Цели работы: развитие общего подхода к разнообразным вопросам, находящимся на стыке теории интегрируемых систем с теорией представлений квантовых и бесконечномерных групп и алгебр.
Задачи: сохранение и преумножение традиций российской математико-физической школы, занимающей лидирующие позиции в современной мировой науке; развитие
новых направлений и методов математики с опорой на идеи, возникающие в современной фундаментальной физике; вовлечение преподавателей, аспирантов и студентов
НИУ ВШЭ в научную деятельность лаборатории, содействие их контактам с зарубежными исследователями; укрепление международныых связей факультета математики
НИУ ВШЭ, повышение его авторитета в ряду ведущих математико-физических вузов
мира.
Объекты научного исследования: интегрируемые модели математической физики: модели Рюйсенаарса-Шнайдера, системы Калоджеро-Сазерленда, цепочки Тоды,
спиновые цепочки и родственные им модели интегрируемых стохастических процессов; многомерные гипергеометрические функции и геометрическая теория представлений, эллиптические конформные блоки и эллиптические гипергеометрические функции, обобщенные Янгианы, квантовые матричные алгебры, редукционные алгебры, геометрическое соответствие Ленглендса.
",официально-деловой,Наука
"
В о л о п а с ( н а л а т ы н и B o ö t e s ,
сокращ. Boo) — достаточно крупное
созвездие северного полушария неба,
описанное в каталоге звёздного неба
астронома II века Клавдия Птолемея
«Альмагест». Известно же оно со времён
Вавилона и Древнего Египта. По площади
Волопас занимает 13-е место среди 88
современных созвездий. По числу звёзд,
видимых невооружённым глазом (90
звёзд ярче 6m), оно делит 19—23-е места
с такими примечательными созвездиями,
как Персей и Кассиопея. В нём находятся
самая яркая звезда северного полушария
и четвёртая по яркости на всём небе —
Арктур (−0,05m), ещё семь звёзд выше
четвёртой величины и 21 больше пятой
величины. Так что в Волопасе имеется в
общей сложности 29 звёзд, легко видимых
невооружённым глазом.
Шесть ярких звёзд Волопаса образуют характерную фигуру, которую
астрономы-любители обычно сравнивают с воздушным змеем, хотя некоторые
предпочитают увидеть там парашют и
даже рожок с мороженым. Проще всего
его найти с помощью более приметного
соседнего созвездия Большая Медведица: ручка её ковша как раз направлена
на созвездие Волопас. А чтобы найти
Арктур, нужно провести дугу через три
звезды ручки ковша — Алиот, Мицар
и Алькаид, она пройдёт через яркую
оранжевую звезду. Это и есть Арктур. На
территории России созвездие Волопас
видно повсюду, но наиболее благоприятные условия для наблюдения наступают весной и в первую половину лета,
поскольку кульминации оно достигает
около 2 мая.
Арктур (α Boo) — единственный
красный гигант, расположенный относительно близко к Земле, а потому
представляет большой интерес для астрономов. В частности, он был объектом
ряда исследований в астросейсмологии
(подробнее об этой новой науке можно
прочитать в статье «Услышать звуки
звёзд», «Наука и жизнь» № 1, 2018 г.). Его
масса близка к солнечной, и он демонстрирует, какая судьба ждёт наше светило в далёком будущем. Арктуру от 6 до 8,5
миллиарда лет, он уже израсходовал водород в своём ядре и эволюционировал
за пределы главной последовательности,
увеличившись примерно в 25 раз по
своим размерам. Правда, астрофизики
пока спорят, началось ли у него уже
горение гелия или нет. Значительная
часть излучения Арктура приходится на
инфракрасный диапазон, в котором его
видимая величина, равная −2,2, уступает только Бетельгейзе (−2,9) и R Золотой
Рыбы (−2,6).
Металличность Арктура (содержание
элементов тяжелее гелия) в три раза
меньше, чем у Солнца, так что, возможно, он принадлежит к предыдущему
поколению звёзд Вселенной — поколению II. Поколение I, к которому принадлежит Солнце, для своего формирования использует тяжёлые элементы,
образовавшиеся в результате гибели
предшествующих звёзд, а потому богаче ими. Кроме того, Арктур входит в
звёздный поток, получивший его имя,
который состоит из множества старых
звёзд, обладающих общим собственным
движением. Причём поток Арктура находится вне плоскости нашей Галактики
и, скорее всего, представляет собой
остаток древней карликовой галактики,
которая была разрушена и поглощена",публицистический,Наука
"Р
ЕЧЬ ПОЙДЕТ О СИЛЕ ПРОСТЫХ
идей в математике. Вот что я люблю
делать: взять то, что другие считают сложным и трудным для понимания, и найти
простую идею, позволяющую любому – а
тогда и вам – разобраться в этой сложности.
Эти простые идеи могут оказаться поразительно мощными, но их и поразительно
трудно найти. Много раз на отыскание
простой идеи уходило столетие или больше; на самом деле часто требовалось и два
тысячелетия – эту идею могли бы найти
древние греки, а не нашли.
Распространено заблуждение, что сделанное такими людьми, как Эйнштейн,
было сложным. Нет, по-настоящему потрясают мир простые идеи. Но в этих
идеях есть своего рода тонкость, которая
мешает людям додуматься до них. В простой идее заключен вопрос, который никто
не догадался задать.
Рассмотрим, например, вопрос о том,
круглая Земля или плоская. Разве древние сидели и думали: «Теперь посмотрим – сфера это или плоскость»? Нет, я
думаю, что на самом деле никто не мог
вообразить, что Земля сферична, – пока
кто-то не заметил, что звезды заходят на
западе и через двенадцать часов восходят
на востоке, и не предположил, что все
может двигаться по кругу, – что трудно
согласовать с принятым представлением о
плоской Земле.
Другая странная идея связана с понятием «вверх». Абсолютное ли это понятие?
Таким оно было в физике Аристотеля.
Лишь в физике Ньютона было осознано,
что понятие «вверх» относительно: то, что
для одного направлено «вверх», для другого направлено «вниз» (например, если
один находится в Кембридже, а другой в
Австралии). Эйнштейн создал теорию относительности, когда осознал подобный
факт о природе времени: то, что для одного разделено во времени, может быть для
другого разделено лишь в пространстве.
Поговорим о более доступных вещах. Я
хотел бы познакомить вас с некоторыми
простыми идеями, относящимися к квадратам, треугольникам и узлам.
Квадраты
Начнем с нового доказательства старой
теоремы. Вопрос таков: «Соизмерима ли
диагональ квадрата с его стороной?» Или
в современной терминологии: «Является
ли квадратный корень из двух отношением двух целых чисел?» Этот вопрос привел к великому открытию, которое приписывается пифагорейцам, – открытию иррациональных чисел.
Поставим вопрос иначе (рис. 1). Найдутся ли два квадрата, стороны которых
равны целому числу n, а суммарная площадь равна площади квадрата со стороной, равной другому целому числу m?
Это почти осуществляется для квадратов 12 на 12: 12 умножить на 12 – это 144,
а 144 плюс 144 равно 288, что не равно в
точности 289, т.е. 17 на 17. Таким образом, 17 12 1,41666… очень близко к
2 1,41421… – отличие составляет лишь
две тысячных.
",публицистический,Наука
